OBJECTID,Num_Cases,Address,xcoord,ycoord
"262",1,4 Great Chapel Street,-0.134502055034988,51.5158698573615
"263",2,7 Greens Court,-0.134465741834688,51.5123988838125
"264",1,25 Great Windmill Street,-0.134774010849192,51.5118245094981
"265",1,4 Great Chapel Street,-0.134502055034988,51.5158698573615
"266",1,26 Brewer Street,-0.134560242323638,51.5120956884968
"267",2,122 Wardour Street,-0.134444478301672,51.5141375583806
"268",2,8 Berwick Street,-0.134450235506079,51.5131271235738
"269",1,14 Berwick Street,-0.134678910789413,51.5133895398016
"270",1,24 Brewer Street,-0.134408526473246,51.5121656719942
"271",1,6 Greens Court,-0.134457462269133,51.5124904990981
"272",2,116 Wardour Street,-0.134355559159024,51.5140493375607
"273",2,7 Greens Court,-0.134465741834688,51.5123988838125
"274",1,7 Berwick Street,-0.134412213810343,51.5130834138448
"275",1,14 Ham Yard,-0.134474539159377,51.5113031731555
"276",8,6 Berwick Street,-0.134374190803425,51.5130397031712
"277",1,124 Wardour Street,-0.13451306121001,51.5142114731291
"278",1,116 Wardour Street,-0.134355559159024,51.5140493375607
"279",2,5 Berwick Street,-0.134336169251037,51.5129959934193
"280",1,123 Wardour Street,-0.134260125061618,51.5138074805998
"281",2,1 Saint Annes Court,-0.134287586819858,51.514562951167
"282",1,3 Berwick Street,-0.134260143377457,51.5129085554091
"283",1,119 Wardour Street,-0.134155220457218,51.5136611689484
"284",5,102 Wardour Street,-0.134179676153595,51.5138298188349
"285",1,1 Saint Annes Court,-0.134287586819858,51.514562951167
"286",2,117 Wardour Street,-0.134135466612041,51.5136321499509
"287",1,1 Flaxman Court,-0.134200572501885,51.5140457597388
"288",1,109 Wardour Street,-0.133923373086834,51.5133129311421
"289",1,41 Great Windmill Street,-0.134169203026049,51.5111022122774
"290",1,19 A401,-0.134120753894204,51.5106486262923
"291",1,98 Wardour Street,-0.134074773144395,51.5136835080483
"292",1,18 Brewer Street,-0.134150075662722,51.5122856862776
"293",2,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"294",2,113 Wardour Street,-0.134029420179093,51.5134725410573
"295",2,1 Flaxman Court,-0.134200572501885,51.5140457597388
"296",1,94 Wardour Street,-0.134001034805242,51.5135732939376
"297",1,92 Wardour Street,-0.133948012576221,51.5134934885646
"298",1,13 Brewer Street,-0.134183353528466,51.5122013910126
"299",1,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"300",1,59 Rupert Street,-0.133670770724759,51.5121482763013
"301",1,3 Richmond Buildings,-0.133314928696783,51.5142348507979
"302",1,5 Walkers Court,-0.134018472555472,51.5125792505795
"303",1,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"304",5,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"305",1,29 Peter Street,-0.133920469313182,51.5128597627025
"306",1,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"307",1,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"308",1,6 Brewer Street,-0.13385945113532,51.5124074298701
"309",1,4 Brewer Street,-0.133575760064234,51.5125335767985
"310",4,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"311",1,29 Saint Annes Court,-0.133756936575466,51.5147053033781
"312",1,1 Meard Street,-0.133420584639244,51.5131512956807
"313",2,85 Dean Street,-0.133179227178923,51.514566483703
"314",1,85 Dean Street,-0.133179227178923,51.514566483703
"315",1,1 Rupert Street,-0.133236696221511,51.5116598396785
"316",2,13 Meard Street,-0.13331304644446,51.5131330921512
"317",1,1 Meard Street,-0.133420584639244,51.5131512956807
"318",1,7 Meard Street,-0.132919720518313,51.5132661170339
"319",1,2 Bourchier Street,-0.132529026017933,51.5130740973029
"320",1,30 Rupert Street,-0.132754953763738,51.5111665278579
"321",1,5 Rupert Court,-0.13269122701062,51.5110540006614
"322",2,1 Marlbrough Court,-0.138595098896646,51.5134698143111
